Reference,Quantity,Value,Description,Footprint,MPN,Notes
# Power Supply (Sheet: Power)
J1,1,Barrel_Jack,DC Power Jack 2.1mm 12V,BarrelJack_Horizontal,PJ-202A,Center positive
F1,1,2A,Fuse 2A slow-blow,Fuse_Holder_5x20mm,0229002.MXP,Input protection
D1,1,P-FET or Schottky,Reverse polarity protection,SOT-23 or D_SMA,AO3401 or SS34,Choose P-FET for low Vdrop
U1,1,TPS54331,Buck converter 12V→3.3V 3A,SOIC-8_3.9x4.9mm_P1.27mm,TPS54331DR,Texas Instruments
L1,1,22µH,Inductor 22µH 1.5A,L_12x12mm,IHLP2525CZER220M11,Vishay shielded
C1,1,220µF,Cap electrolytic 25V (input),CP_Radial_D8.0mm_P3.50mm,ECA-1EM221,Panasonic
C2,1,220µF,Cap electrolytic 25V (output),CP_Radial_D8.0mm_P3.50mm,ECA-1EM221,Panasonic
C3-C10,8,100nF,Cap ceramic X7R 0805,C_0805_2012Metric,,Decoupling (distribute across sheets)
C11,1,10µF,Cap ceramic X7R 1206,C_1206_3216Metric,,Bulk 3.3V rail
C12,1,10µF,Cap ceramic X7R 1206,C_1206_3216Metric,,Bulk 3.3V rail
R1,1,10kΩ,Resistor 1% 0805 (buck feedback),R_0805_2012Metric,,Per TPS54331 datasheet
R2,1,2.2kΩ,Resistor 1% 0805 (buck feedback),R_0805_2012Metric,,Per TPS54331 datasheet
D2,1,1N5819,Schottky diode 1A 40V,D_SMA,1N5819,Buck flyback (if not integrated)
TP1,1,TestPoint,Test point +12V,TestPoint_Pad_D2.0mm,,
TP2,1,TestPoint,Test point +3.3V,TestPoint_Pad_D2.0mm,,
TP3,1,TestPoint,Test point GND,TestPoint_Pad_D2.0mm,,
# MCU (Sheet: MCU)
U2,1,STM32G071CBT6,MCU STM32G0 48-pin LQFP,LQFP-48_7x7mm_P0.5mm,STM32G071CBT6,STMicroelectronics (or STM32G431CBT6)
Y1,1,8MHz,Crystal 8MHz HC-49S,Crystal_HC49-U_Vertical,ABM3B-8.000MHZ-B2-T,HSE for MCU
C20,1,20pF,Cap ceramic 0805 (crystal load),C_0805_2012Metric,,
C21,1,20pF,Cap ceramic 0805 (crystal load),C_0805_2012Metric,,
R10,1,10kΩ,Resistor 0805 (NRST pull-up),R_0805_2012Metric,,
C22-C30,9,100nF,Cap ceramic X7R 0805,C_0805_2012Metric,,One per VDD/VDDA pin
C31,1,10µF,Cap ceramic X7R 1206,C_1206_3216Metric,,MCU bulk
C32,1,10µF,Cap ceramic X7R 1206,C_1206_3216Metric,,MCU bulk
J2,1,SWD_Header,Header 2×5 1.27mm SWD,PinHeader_2x05_P1.27mm,TC2050-IDC-NL (or standard),Tag-Connect or pin header
J3,1,UART_Header,Header 1×3 2.54mm (TX RX GND),PinHeader_1x03_P2.54mm_Vertical,,
SW1,1,SW_Push,Tactile switch SPST 6mm (NRST),SW_SPST_6mm,,Reset button
R11,1,0Ω,Resistor 0805 (BOOT0 to GND),R_0805_2012Metric,,Flash boot mode
# Ethernet (Sheet: Ethernet)
U3,1,W5500,Ethernet controller SPI,LQFP-48_7x7mm_P0.5mm,W5500,WIZnet
